bn:00000001n	08641944n
bn:00001076n	06532095n
bn:00001077n	00030358n
bn:00001078n	07009640n
bn:00001079n	06892016n
bn:00001080n	07014029n
bn:00001081n	07315350n
bn:00001082n	00759694n
bn:00001083n	11723655n
bn:00001084n	11724363n
bn:00001085n	11724109n
bn:00001086n	05408113n
bn:00001087n	02302853n
bn:00001088n	02302969n
bn:00001089n	02677232n
bn:00001090n	14731334n
bn:00001091n	01914415n
bn:00001092n	00548326n
bn:00001093n	07014596n
bn:00001094n	06887962n
bn:00001095n	01914961n
bn:00001096n	01914830n
bn:00001097n	14222685n
bn:00001098n	14228376n
bn:00001099n	11421401n
bn:00001100n	14584110n
bn:00001101n	14625110n
bn:00001102n	12371002n
bn:00001103n	12371202n
bn:00001104n	12371439n
bn:00001105n	12371704n
bn:00001106n	12370842n
bn:00001107n	13206438n
bn:00001108n	04917292n
bn:00001109n	14725217n
bn:00001110n	12030479n
bn:00001111n	12030908n
bn:00001112n	02677436n
bn:00001113n	00998037n
bn:00001114n	01375760n
bn:00001115n	01375460n
bn:00001116n	01374989n
bn:00001117n	01375204n
bn:00001118n	02677602n
bn:00001119n	14254102n
bn:00001120n	01427005n
bn:00001121n	01427143n
bn:00001122n	01390466n
bn:00001123n	01390287n
bn:00001124n	00705580n
bn:00001125n	01913838n
bn:00001126n	01914163n
bn:00001127n	00037396n
bn:00001128n	14006945n
bn:00001129n	00952963n
bn:00001130n	13518963n
bn:00001131n	06373513n
bn:00001132n	04835950n
bn:00001133n	02677718n
bn:00001134n	01181902n
bn:00001135n	01182312n
bn:00001136n	00576451n
bn:00001137n	09764732n
bn:00001138n	11755319n
bn:00001139n	07308308n
bn:00001140n	01020117n
bn:00001141n	11421618n
bn:00001142n	02026798n
bn:00001143n	02026948n
bn:00001144n	02027075n
bn:00001145n	08786161n
bn:00001146n	01268457n
bn:00001147n	04441282n
bn:00001148n	14796359n
bn:00001149n	01046984n
bn:00001150n	14723425n
bn:00001151n	13426376n
bn:00001152n	00236821n
bn:00001153n	11421822n
bn:00001154n	14723079n
bn:00001155n	14776804n
bn:00001156n	13803158n
bn:00001157n	09764900n
bn:00001158n	00960395n
bn:00001159n	06570520n
bn:00001160n	13426591n
bn:00001161n	09765118n
bn:00001162n	14527553n
bn:00001163n	02678010n
bn:00001164n	02678174n
bn:00001165n	08623260n
bn:00001166n	13426726n
bn:00001167n	13360950n
bn:00001168n	04635104n
bn:00001169n	04285803n
bn:00001170n	05901840n
bn:00001171n	10315837n
bn:00001172n	00407535n
bn:00001173n	13440063n
bn:00001174n	14531203n
bn:00001175n	14729737n
bn:00001176n	09765278n
bn:00001177n	09767197n
bn:00001178n	09767592n
bn:00001179n	10033082n
bn:00001180n	07010821n
bn:00001181n	09767700n
bn:00001182n	06442405n
bn:00001183n	13291356n
bn:00001184n	01194711n
bn:00001185n	00809886n
bn:00001186n	00757337n
bn:00001187n	00931847n
bn:00001188n	13954818n
bn:00001189n	08266542n
bn:00001190n	10652954n
bn:00001191n	00045250n
bn:00001192n	02678384n
bn:00001193n	00732746n
bn:00001194n	05655567n
bn:00001195n	05620468n
bn:00001196n	03612559n
bn:00001197n	01900985n
bn:00001198n	13089419n
bn:00001199n	01901091n
bn:00001200n	13089526n
bn:00001201n	05621808n
bn:00001202n	13157684n
bn:00001203n	00710338n
bn:00001204n	00710155n
bn:00001205n	06822576n
bn:00001206n	13879816n
bn:00001207n	13891937n
bn:00001208n	14140176n
bn:00001209n	14054762n
bn:00001210n	14346606n
bn:00001211n	14255536n
bn:00001212n	14347045n
bn:00001213n	14342742n
bn:00001214n	14343062n
bn:00001215n	14114886n
bn:00001216n	14243268n
bn:00001217n	14243393n
bn:00001218n	14243649n
bn:00001219n	14566476n
bn:00001220n	14400325n
bn:00001221n	05653327n
bn:00001222n	04705536n
bn:00001223n	02678528n
bn:00001224n	14594708n
bn:00001225n	13426948n
bn:00001226n	14885088n
bn:00001227n	07248801n
bn:00001228n	06714697n
bn:00001229n	08353912n
bn:00001230n	00798959n
bn:00001231n	13316722n
bn:00001232n	14707361n
bn:00001233n	14129223n
bn:00001234n	14152803n
bn:00001235n	09515027n
bn:00001236n	07153838n
bn:00001237n	07047804n
bn:00001238n	00526259n
bn:00001239n	09040839n
bn:00001240n	02165754n
bn:00001241n	02165877n
bn:00001242n	09586553n
bn:00001243n	10808045n
bn:00001244n	02678738n
bn:00001245n	11776511n
bn:00001246n	05530296n
bn:00001247n	12483427n
bn:00001248n	09187594n
bn:00001249n	12045514n
bn:00001250n	11305258n
bn:00001251n	04863793n
bn:00001252n	14834563n
bn:00001253n	10808539n
bn:00001254n	10808353n
bn:00001255n	10808200n
bn:00001256n	09187407n
bn:00001257n	14362593n
bn:00001258n	09040475n
bn:00001259n	12189620n
bn:00001260n	12189987n
bn:00001261n	12189779n
bn:00001262n	09515131n
bn:00001263n	02496210n
bn:00001264n	03229905n
bn:00001265n	04659090n
bn:00001266n	06408779n
bn:00001267n	13427078n
bn:00001268n	00193406n
bn:00001269n	09809925n
bn:00001270n	02678897n
bn:00001271n	07440045n
bn:00001272n	15215480n
bn:00001273n	15215693n
bn:00001274n	14056280n
bn:00001275n	03033986n
bn:00001276n	02679415n
bn:00001277n	02421136n
bn:00001278n	13728818n
bn:00001279n	06399631n
bn:00001280n	09768753n
bn:00001281n	02679142n
bn:00001282n	01752585n
bn:00001283n	13173882n
bn:00001284n	12960378n
bn:00001285n	09769076n
bn:00001286n	09768830n
bn:00001287n	14062725n
bn:00001288n	07486145n
bn:00001289n	00087849n
bn:00001290n	02679257n
bn:00001291n	08778401n
bn:00001292n	14116908n
bn:00001293n	00363788n
bn:00001294n	13754293n
bn:00001295n	08554872n
bn:00001296n	00872107n
bn:00001297n	13427356n
bn:00001298n	06458685n
bn:00001299n	02679788n
bn:00001300n	13843001n
bn:00001301n	10598904n
bn:00001302n	06356515n
bn:00001303n	08491027n
bn:00001304n	07238694n
bn:00001305n	07067591n
bn:00001306n	06794216n
bn:00001307n	06787150n
bn:00001308n	05082648n
bn:00001309n	04842232n
bn:00001310n	09769345n
bn:00001311n	02679961n
bn:00001312n	09769525n
bn:00001313n	06649704n
bn:00001314n	14584016n
bn:00001315n	00333203n
bn:00001316n	05291728n
bn:00001317n	07925966n
bn:00001318n	08834543n
bn:00001319n	02254531n
bn:00001320n	02255023n
bn:00001321n	02254901n
bn:00001322n	02254697n
bn:00001323n	02254370n
bn:00001324n	02056228n
bn:00001325n	08494782n
bn:00001326n	11396667n
bn:00001327n	09164903n
bn:00001328n	08025112n
bn:00001329n	11758628n
bn:00001330n	11758799n
bn:00001331n	10808756n
bn:00001332n	14257687n
bn:00001333n	11769002n
bn:00001334n	11769176n
bn:00001335n	14246710n
bn:00001336n	05484355n
bn:00001337n	05529286n
bn:00001338n	00665970n
bn:00001339n	14235793n
bn:00001340n	14234611n
bn:00001341n	14367005n
bn:00001342n	14246097n
bn:00001343n	14204763n
bn:00001344n	14117173n
bn:00001345n	14707101n
bn:00001346n	14707903n
bn:00001347n	14707710n
bn:00001348n	14708042n
bn:00001349n	14059928n
bn:00001350n	02427958n
bn:00001351n	02428089n
bn:00001352n	01330126n
bn:00001353n	05642175n
bn:00001354n	04792357n
bn:00001355n	05112609n
bn:00001356n	14665102n
bn:00001357n	15091669n
bn:00001358n	14932222n
bn:00001359n	05414147n
bn:00001360n	01212882n
bn:00001361n	04935528n
bn:00001362n	10016103n
bn:00001363n	14206224n
bn:00001364n	05584008n
bn:00001365n	06521878n
bn:00001366n	14702416n
bn:00001367n	02680110n
bn:00001368n	11460281n
bn:00001369n	03957420n
bn:00001370n	02680337n
bn:00001371n	08009239n
bn:00001372n	06430784n
bn:00001373n	13427481n
bn:00001374n	13179216n
bn:00001375n	13206584n
bn:00001376n	13207572n
bn:00001377n	13207094n
bn:00001378n	13207335n
bn:00001379n	13207736n
bn:00001380n	13207923n
bn:00001381n	09180791n
bn:00001382n	06629610n
bn:00001383n	09187743n
bn:00001384n	14612317n
bn:00001385n	05456622n
bn:00001386n	05268965n
bn:00001387n	14239322n
bn:00001388n	04999741n
bn:00001389n	05000537n
bn:00001390n	09187923n
bn:00001391n	02680512n
bn:00001392n	09524027n
bn:00001393n	09524151n
bn:00001394n	05085991n
bn:00001395n	06321702n
bn:00001396n	06319029n
bn:00001397n	02680638n
bn:00001398n	00216038n
bn:00001399n	01067070n
bn:00001400n	00874457n
bn:00001401n	09769636n
bn:00001402n	09188229n
bn:00001403n	09769803n
bn:00001404n	06312767n
bn:00001405n	00147454n
bn:00001406n	07187150n
bn:00001407n	02680754n
bn:00001408n	09769929n
bn:00001409n	13405480n
bn:00001410n	00199707n
bn:00001411n	00999787n
bn:00001412n	13274092n
bn:00001413n	09770179n
bn:00001414n	02003037n
bn:00001415n	09770359n
bn:00001416n	02680947n
bn:00001417n	11317749n
bn:00001418n	11909745n
bn:00001419n	11909864n
bn:00001420n	09773962n
bn:00001421n	08180484n
bn:00001422n	01135952n
bn:00001423n	08164585n
bn:00001424n	00694990n
bn:00001425n	15266265n
bn:00001426n	01124794n
bn:00001427n	00694866n
bn:00001428n	08077292n
bn:00001429n	13427633n
bn:00001430n	08491826n
bn:00001431n	01200000n
bn:00001432n	08453108n
bn:00001433n	09880427n
bn:00001434n	09770949n
bn:00001435n	09770743n
bn:00001436n	09770472n
bn:00001437n	01137206n
bn:00001438n	04729127n
bn:00001439n	09771204n
bn:00001440n	02276258n
bn:00001441n	10876798n
bn:00001442n	10933084n
bn:00001443n	11203059n
bn:00001444n	11207929n
bn:00001445n	08349548n
bn:00001446n	00588703n
bn:00001447n	14960261n
bn:00001448n	09057170n
bn:00001449n	08843085n
bn:00001450n	08454191n
bn:00001451n	13660619n
bn:00001452n	09188094n
bn:00001453n	07500741n
bn:00001454n	07509996n
bn:00001455n	01218593n
bn:00001456n	10677713n
bn:00001457n	09771664n
bn:00001458n	09771435n
bn:00001459n	04793016n
bn:00001460n	01248191n
bn:00001461n	07215948n
bn:00001462n	13321495n
bn:00001463n	15158189n
bn:00001464n	14487598n
bn:00001465n	02681084n
bn:00001466n	00380083n
bn:00001467n	09771855n
bn:00001468n	06714420n
bn:00001469n	06672297n
bn:00001470n	05221649n
bn:00001471n	06320440n
bn:00001472n	00555138n
bn:00001473n	14600927n
bn:00001474n	02681392n
bn:00001475n	04255899n
bn:00001476n	12453714n
bn:00001477n	07579917n
bn:00001478n	15147850n
bn:00001479n	14426910n
bn:00001480n	09772029n
bn:00001481n	10953797n
bn:00001482n	11052672n
bn:00001483n	11138085n
bn:00001484n	11392754n
bn:00001485n	11211870n
bn:00001486n	11283158n
bn:00001487n	06385080n
bn:00001488n	10288964n
bn:00001489n	11724529n
bn:00001490n	09547629n
bn:00001491n	11724660n
bn:00001492n	09772330n
bn:00001493n	09772448n
bn:00001494n	01185292n
bn:00001495n	00084371n
bn:00001496n	04686257n
bn:00001497n	07501420n
bn:00001498n	01218766n
bn:00001499n	01043989n
bn:00001500n	02681518n
bn:00001501n	00262596n
bn:00001502n	00930481n
bn:00001503n	13436063n
bn:00001504n	03085915n
bn:00001505n	05331171n
bn:00001506n	05490983n
bn:00001507n	14751417n
bn:00001508n	05491308n
bn:00001509n	00666107n
bn:00001510n	05408388n
bn:00001511n	07325639n
bn:00001512n	02682038n
bn:00001513n	00656835n
bn:00001514n	14747838n
bn:00001515n	11021342n
bn:00001516n	10808886n
bn:00001517n	08916111n
bn:00001518n	09188383n
bn:00001519n	14598704n
bn:00001520n	14598525n
bn:00001521n	13427789n
bn:00001522n	12577686n
bn:00001523n	06695753n
bn:00001524n	10095869n
bn:00001525n	09605289n
bn:00001526n	01321456n
bn:00001527n	14118936n
bn:00001528n	05219561n
bn:00001529n	00885297n
bn:00001530n	10787470n
bn:00001531n	05220126n
bn:00001532n	13822249n
bn:00001533n	10287213n
bn:00001534n	05220306n
bn:00001535n	14055052n
bn:00001536n	05306708n
bn:00001537n	14616939n
bn:00001538n	14487443n
bn:00001539n	00163630n
bn:00001540n	09772606n
bn:00001541n	09772746n
bn:00001542n	09772930n
bn:00001543n	00848466n
bn:00001544n	15152817n
bn:00001545n	14425103n
bn:00001546n	05776015n
bn:00001547n	02682207n
bn:00001548n	07445265n
bn:00001549n	07357388n
bn:00001550n	07164349n
bn:00001551n	00282050n
bn:00001552n	13375891n
bn:00001553n	00364260n
bn:00001554n	13297397n
bn:00001555n	08340753n
bn:00001556n	07251984n
bn:00001557n	00249501n
bn:00001558n	09773076n
bn:00001559n	05155821n
bn:00001560n	13610426n
bn:00001561n	05142863n
bn:00001562n	05160796n
bn:00001563n	13427989n
bn:00001564n	00048828n
bn:00001565n	15241507n
bn:00001566n	07322550n
bn:00001567n	15241655n
bn:00001568n	06226934n
bn:00001569n	09678747n
bn:00001570n	05606633n
bn:00001571n	13126192n
bn:00001572n	00796315n
bn:00001573n	06370268n
bn:00001574n	09606009n
bn:00001575n	10072708n
bn:00001576n	09773169n
bn:00001577n	04662182n
bn:00001578n	04859177n
bn:00001579n	06319157n
bn:00001580n	06323612n
bn:00001581n	06324355n
bn:00001582n	09773245n
bn:00001583n	13800267n
bn:00001584n	06782383n
bn:00001585n	09773682n
bn:00001586n	14475661n
bn:00001587n	07336612n
bn:00001588n	05704096n
bn:00001589n	01101329n
bn:00001590n	08118260n
bn:00001591n	07249180n
bn:00001592n	06671484n
bn:00001593n	06535980n
bn:00001594n	03556281n
bn:00001595n	05160399n
bn:00001596n	09774167n
bn:00001597n	05785067n
bn:00001598n	09774266n
bn:00001599n	06747008n
bn:00001600n	08381636n
bn:00001601n	00577931n
bn:00001602n	01214171n
bn:00001603n	09774783n
bn:00001604n	09775663n
bn:00001605n	05175613n
bn:00001606n	05040833n
bn:00001607n	02682311n
bn:00001608n	09019592n
bn:00001609n	08122358n
bn:00001610n	13063666n
bn:00001611n	13063514n
bn:00001612n	02200705n
bn:00001613n	02200850n
bn:00001614n	02201000n
bn:00001615n	08784905n
bn:00001616n	01268633n
bn:00001617n	09188609n
bn:00001618n	08290156n
bn:00001619n	08782627n
bn:00001620n	12916025n
bn:00001621n	12916179n
bn:00001622n	12104614n
bn:00001623n	12104734n
bn:00001624n	08782847n
bn:00001625n	01910998n
bn:00001626n	07403920n
bn:00001627n	01214863n
bn:00001628n	02895154n
bn:00001629n	09595717n
bn:00001630n	09188894n
bn:00001631n	01268886n
bn:00001632n	01616551n
bn:00001633n	01617949n
bn:00001634n	01618082n
bn:00001635n	02479332n
bn:00001636n	10939187n
bn:00001637n	09594604n
bn:00001638n	11236852n
bn:00001639n	06380055n
bn:00001640n	09507909n
bn:00001641n	08784104n
bn:00001642n	09710753n
bn:00001643n	08160697n
bn:00001644n	02682407n
bn:00001645n	06977800n
bn:00001646n	09553490n
bn:00001647n	09536584n
bn:00001648n	15243730n
bn:00001649n	15243590n
bn:00001650n	12786684n
bn:00001651n	12786836n
bn:00001652n	02422561n
bn:00001653n	02422699n
bn:00001654n	01522147n
bn:00001655n	01521980n
bn:00001656n	01522450n
bn:00001657n	13428159n
bn:00001658n	00200244n
bn:00001659n	02682569n
bn:00001660n	00561226n
bn:00001661n	02715229n
bn:00001662n	02682699n
bn:00001663n	03632852n
bn:00001664n	02682811n
bn:00001665n	04469813n
bn:00001666n	09764598n
bn:00001667n	12044467n
bn:00001668n	09189157n
bn:00001669n	08492354n
bn:00001670n	01353773n
bn:00001671n	01353932n
bn:00001672n	01326897n
bn:00001673n	00625858n
bn:00001674n	11473685n
bn:00001675n	14324099n
bn:00001676n	02692232n
bn:00001677n	11422114n
bn:00001678n	11422277n
bn:00001679n	06114351n
bn:00001680n	14101317n
bn:00001681n	14068344n
bn:00001682n	02688443n
bn:00001683n	04587404n
bn:00001684n	06626060n
bn:00001685n	09189289n
bn:00001686n	06119226n
bn:00001687n	06046037n
bn:00001688n	09826204n
bn:00001689n	09775907n
bn:00001690n	06126177n
bn:00001691n	00949948n
bn:00001692n	06096913n
bn:00001693n	00840057n
bn:00001694n	01016628n
bn:00001695n	09776186n
bn:00001696n	13122985n
bn:00001697n	02691156n
bn:00001698n	11422597n
bn:00001699n	02682922n
bn:00001700n	04420461n
bn:00001701n	08502171n
bn:00001702n	09776079n
bn:00001703n	02683183n
bn:00001704n	10809086n
bn:00001705n	12830568n
bn:00001706n	12830789n
bn:00001707n	09559201n
bn:00001708n	12768177n
bn:00001709n	12768369n
bn:00001710n	09579070n
bn:00001711n	10809223n
bn:00001712n	06372428n
bn:00001713n	05678148n
bn:00001714n	05712076n
bn:00001715n	10064537n
bn:00001716n	05968971n
bn:00001717n	10064831n
bn:00001718n	10064669n
bn:00001719n	06161223n
bn:00001720n	14014162n
bn:00001721n	07947069n
bn:00001722n	09553599n
bn:00001723n	06254915n
bn:00001724n	11869890n
bn:00001725n	12931109n
bn:00001726n	12931231n
bn:00001727n	10066059n
bn:00001728n	07327608n
bn:00001729n	06161048n
bn:00001730n	01499261n
bn:00001731n	01499396n
bn:00001732n	08762495n
bn:00001733n	04654652n
bn:00001734n	05671325n
bn:00001735n	13931889n
bn:00001736n	07447261n
bn:00001737n	01172784n
bn:00001738n	05671676n
bn:00001739n	01107359n
bn:00001740n	07479926n
bn:00001741n	00755673n
bn:00001742n	06332136n
bn:00001743n	04787763n
bn:00001744n	07544647n
bn:00001745n	04627000n
bn:00001746n	14388910n
bn:00001747n	02110627n
bn:00001748n	05475134n
bn:00001749n	05475397n
bn:00001750n	05466892n
bn:00001751n	09776261n
bn:00001752n	06736529n
bn:00001753n	09776346n
bn:00001754n	08009478n
bn:00001755n	13930385n
bn:00001756n	01082061n
bn:00001757n	09776522n
bn:00001758n	06005399n
bn:00001759n	13785965n
bn:00001760n	11426778n
bn:00001761n	13813283n
bn:00001762n	13812296n
bn:00001763n	13811410n
bn:00001764n	11422822n
bn:00001765n	04747798n
bn:00001766n	04688648n
bn:00001767n	06732350n
bn:00001768n	07203126n
bn:00001769n	06684798n
bn:00001770n	01186192n
bn:00001771n	07203696n
bn:00001772n	06659685n
bn:00001773n	06559832n
bn:00001774n	05167117n
bn:00001775n	02384639n
bn:00001776n	09814660n
bn:00001777n	06308049n
bn:00001778n	06177923n
bn:00001779n	00927694n
bn:00001780n	00379422n
bn:00001781n	05835449n
bn:00001782n	14477342n
bn:00001783n	14213199n
bn:00001784n	07305234n
bn:00001785n	14491625n
bn:00001786n	09776642n
bn:00001787n	09278997n
bn:00001788n	00400278n
bn:00001789n	07184545n
bn:00001790n	01176335n
bn:00001791n	07118990n
bn:00001792n	07116641n
bn:00001793n	07520612n
bn:00001794n	01225027n
bn:00001795n	01038147n
bn:00001796n	02683323n
bn:00001797n	09689435n
bn:00001798n	06975132n
bn:00001799n	04187970n
bn:00001800n	02088094n
bn:00001801n	13663077n
bn:00001802n	13663229n
bn:00001803n	08703454n
bn:00001804n	14170623n
bn:00001805n	09776933n
bn:00001806n	09776807n
bn:00001807n	08197386n
bn:00001808n	08233913n
bn:00001809n	08234103n
bn:00001810n	14714645n
bn:00001811n	03808144n
bn:00001812n	15033846n
bn:00001813n	12357802n
bn:00001814n	12357968n
bn:00001815n	06986558n
bn:00001816n	09189411n
bn:00001817n	09634494n
bn:00001818n	09637013n
bn:00001819n	07025604n
bn:00001820n	12481150n
bn:00001821n	01694178n
bn:00001822n	01654637n
bn:00001823n	01746952n
bn:00001824n	08698379n
bn:00001825n	01697457n
bn:00001826n	11992806n
bn:00001827n	11971783n
bn:00001828n	11925303n
bn:00001829n	02504458n
bn:00001830n	01817953n
bn:00001831n	02485688n
bn:00001832n	12205460n
bn:00001833n	12895298n
bn:00001834n	02116738n
bn:00001835n	12429352n
bn:00001836n	12120578n
bn:00001837n	12699031n
bn:00001838n	12020736n
bn:00001839n	12118661n
bn:00001840n	01694955n
bn:00001841n	12590499n
bn:00001842n	12509109n
bn:00001843n	12698027n
bn:00001844n	03608870n
bn:00001845n	12833149n
bn:00001846n	12699618n
bn:00001847n	02390640n
bn:00001848n	11652578n
bn:00001849n	02406046n
bn:00001850n	02208498n
bn:00001851n	06952861n
bn:00001852n	09635635n
bn:00001853n	02688895n
bn:00001854n	05258889n
bn:00001855n	02683454n
bn:00001856n	11653323n
bn:00001857n	11653570n
bn:00001858n	01803641n
bn:00001859n	08196892n
bn:00001860n	02683791n
bn:00001861n	04316646n
bn:00001862n	05520965n
bn:00001863n	02683558n
bn:00001864n	00656192n
bn:00001865n	14726642n
bn:00001866n	02683692n
bn:00001867n	11411501n
bn:00001868n	14311574n
bn:00001869n	11517898n
bn:00001870n	07492368n
bn:00001871n	05936130n
bn:00001872n	15143864n
bn:00001873n	11411610n
bn:00001874n	07294019n
bn:00001875n	15166191n
bn:00001876n	06632807n
bn:00001877n	07575510n
bn:00001878n	14330992n
bn:00001879n	07008544n
bn:00001880n	07609840n
bn:00001881n	01897257n
bn:00001882n	07429637n
bn:00001883n	05936300n
bn:00001884n	05790012n
bn:00001885n	02683936n
bn:00001886n	05626524n
bn:00001887n	14654954n
bn:00001888n	06340047n
bn:00001889n	02684083n
bn:00001890n	14022199n
bn:00001891n	12883733n
bn:00001892n	01687978n
bn:00001893n	09594906n
bn:00001894n	11547737n
bn:00001895n	01687665n
bn:00001896n	01687441n
bn:00001897n	14128331n
bn:00001898n	13434120n
bn:00001899n	12429148n
bn:00001900n	07543910n
bn:00001901n	07543732n
bn:00001902n	01028534n
bn:00001903n	01819918n
bn:00001904n	14900184n
bn:00001905n	14900008n
bn:00001906n	13054073n
bn:00001907n	12998815n
bn:00001908n	13000372n
bn:00001909n	12998349n
bn:00001910n	13000668n
bn:00001911n	13001366n
bn:00001912n	13001529n
bn:00001913n	10809317n
bn:00001914n	12839839n
bn:00001915n	12840362n
bn:00001916n	12840502n
bn:00001917n	12840168n
bn:00001918n	14708232n
bn:00001919n	13713003n
bn:00001920n	02684248n
bn:00001921n	10896987n
bn:00001922n	11647131n
bn:00001923n	11647868n
bn:00001924n	11647703n
bn:00001925n	11648268n
bn:00001926n	11648039n
bn:00001927n	12476036n
bn:00001928n	12476510n
bn:00001929n	12477163n
bn:00001930n	12477747n
bn:00001931n	12477583n
bn:00001932n	12477401n
bn:00001933n	12477983n
bn:00001934n	11856055n
bn:00001935n	09576914n
bn:00001936n	04924103n
bn:00001937n	15254028n
bn:00001938n	15145171n
bn:00001939n	15242955n
bn:00001940n	15153787n
bn:00001941n	14256889n
bn:00001942n	07943480n
bn:00001943n	07974766n
bn:00001944n	06664213n
bn:00001945n	06023243n
bn:00001946n	15151764n
bn:00001947n	15127982n
bn:00001948n	15124361n
bn:00001949n	15124545n
bn:00001950n	08472590n
bn:00001951n	15126175n
bn:00001952n	07943870n
bn:00001953n	04927632n
bn:00001954n	10809576n
bn:00001955n	13551965n
bn:00001956n	13429006n
bn:00001957n	01154373n
